League,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeCorners,AwayCorners,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,AvgHomeOdds,AvgDrawOdds,AvgAwayOdds
I1,2020-11-01,Spezia,Juventus,1,4,A,11,8,4,3,9.0,5.25,1.33,8.55,5.11,1.36
I1,2020-11-01,Torino,Lazio,3,4,A,8,9,7,1,3.6,3.8,1.9,2.52,3.6,2.66
I1,2020-11-01,Napoli,Sassuolo,0,2,A,18,8,12,3,1.53,4.6,5.5,1.54,4.66,5.47
I1,2020-11-01,Roma,Fiorentina,2,0,H,11,3,7,4,1.75,3.8,4.2,1.83,3.95,4.04
I1,2020-11-01,Sampdoria,Genoa,1,1,D,9,7,7,4,1.9,3.6,4.0,1.93,3.65,3.92
I1,2020-11-02,Verona,Benevento,3,1,H,10,10,4,5,2.05,3.5,3.6,2.04,3.48,3.69
I1,2020-11-04,Genoa,Torino,1,2,A,9,6,5,2,2.35,3.5,2.8,2.4,3.51,2.89
I1,2020-11-06,Sassuolo,Udinese,0,0,D,3,0,3,6,2.15,3.8,3.1,2.18,3.71,3.17
I1,2020-11-07,Cagliari,Sampdoria,2,0,H,13,5,2,6,2.75,3.5,2.4,2.78,3.56,2.46
I1,2020-11-07,Benevento,Spezia,0,3,A,4,13,2,4,1.9,3.6,3.75,1.98,3.72,3.64
I1,2020-11-07,Parma,Fiorentina,0,0,D,5,6,2,3,3.4,3.6,2.0,3.37,3.61,2.11
I1,2020-11-08,Lazio,Juventus,1,1,D,7,9,4,2,3.5,3.75,1.95,3.55,3.76,2.0
I1,2020-11-08,Atalanta,Inter,1,1,D,9,10,2,5,2.6,3.9,2.35,2.71,3.79,2.41
I1,2020-11-08,Genoa,Roma,1,3,A,7,18,1,8,5.75,4.2,1.53,5.6,4.4,1.56
I1,2020-11-08,Torino,Crotone,0,0,D,5,7,6,3,1.95,3.75,3.6,2.01,3.64,3.61
I1,2020-11-08,Bologna,Napoli,0,1,A,6,8,4,7,4.75,4.2,1.65,4.69,4.18,1.67
I1,2020-11-08,Milan,Verona,2,2,D,21,5,14,1,1.45,4.5,6.5,1.46,4.68,6.55
I1,2020-11-21,Crotone,Lazio,0,2,A,12,13,2,6,4.75,4.0,1.66,4.68,4.05,1.7
I1,2020-11-21,Spezia,Atalanta,0,0,D,6,9,1,2,6.5,5.25,1.4,6.38,5.06,1.44
I1,2020-11-21,Juventus,Cagliari,2,0,H,13,2,9,1,1.28,5.5,10.0,1.28,5.94,10.05
I1,2020-11-22,Fiorentina,Benevento,0,1,A,5,10,4,4,1.5,4.75,5.5,1.54,4.59,5.49
I1,2020-11-22,Inter,Torino,4,2,H,9,11,1,1,1.33,5.75,8.0,1.34,5.53,8.04
I1,2020-11-22,Roma,Parma,3,0,H,12,1,4,1,1.5,4.75,5.75,1.49,4.81,5.89
I1,2020-11-22,Sampdoria,Bologna,1,2,A,8,7,9,10,2.5,3.5,2.7,2.49,3.53,2.74
I1,2020-11-22,Verona,Sassuolo,0,2,A,13,10,6,1,3.2,3.8,2.1,3.19,3.77,2.13
I1,2020-11-22,Udinese,Genoa,1,0,H,7,5,4,8,1.8,3.75,4.33,1.83,3.71,4.28
I1,2020-11-22,Napoli,Milan,1,3,A,16,11,8,5,2.3,3.5,3.0,2.31,3.54,3.02
